link,link_text,txt,site,area
https://www.lidovky.cz/kdyz-o-invazi-nepromluvi-zeman-vystoupi-na-obrazovce-slovensky-prezident-ct-odvysila-jeho-projev-i4b-/zpravy-domov.aspx?c=A180820_113938_ln_domov_sk,"Když o invazi nepromluví Zeman, vystoupí Kiska. ČT odvysílá projev slovenského prezidenta",Česká televize v úterý večer zařadí mimořádně do vysílání projev slovenského prezidenta Andreje Kisky jako připomínku...,lidovky.cz,title
https://www.lidovky.cz/merkelova-statecni-lide-v-cssr-prispeli-ke-sjednocene-evrope-p5l-/zpravy-svet.aspx?c=A180820_141829_ln_zahranici_ele,"Merkelová: Stateční lidé v ČSSR se nechtěli smířit s osudem, přispěli ke sjednocené Evropě",Okupaci Československa vojsky zemí Varšavské smlouvy v roce 1968 považuje německá kancléřka Angela Merkelová za smutné...,lidovky.cz,title
//www.lidovky.cz/novinar.aspx?idnov=3914,Pavlína Procházková,"Jakou dohru měla první infekční nemoc, se kterou lidstvo vyhrálo souboj na globální škále? Vědecká komunita se v létě...",lidovky.cz,title
//www.lidovky.cz/novinar.aspx?idnov=3653,Eliška Nová,"„Tak a konečně jsem pochopil, proč plavou úhoři v noci a ještě po samém dně. Mají na ně spadeno nejlepší kuchaři a...",lidovky.cz,title
https://www.lidovky.cz/neznamy-zlodej-vykrada-domy-v-turnove-pomoci-vrtaku-dela-otvory-do-oken-1oq-/zpravy-domov.aspx?c=A180820_112943_ln_domov_ele,Neznámý zloděj vykrádá domy v Turnově. Pomocí vrtáku dělá otvory do oken,Policie vyšetřuje sérii vloupání do rodinných domů v Turnově v Českém ráji. Neznámý pachatel se dovnitř dostává za...,lidovky.cz,title
https://www.lidovky.cz/machacek-investori-otestuji-erdogana-i-trumpa-f4x-/monitor-jana-machacka.aspx?c=A180820_133156_monitor-jana-machacka_mpr,Investoři otestují Erdogana i Trumpa,"Financial Times upozorňují, že Evropská unie se snaží využít napjatých a...",lidovky.cz,title
https://www.lidovky.cz/policie-navrhla-obzalovat-pet-lidi-kvuli-sest-let-stare-tragedii-v-lopeniku-17d-/zpravy-domov.aspx?c=A180820_125856_ln_domov_ele,Policie navrhla obžalovat pět lidí kvůli šest let staré tragédii v Lopeníku,"Policie navrhla obžalovat pět lidí za tragickou nehodu při rallye v Lopeníku na Uherskohradišťsku, kde v roce 2012...",lidovky.cz,title
https://www.lidovky.cz/pricinou-pozaru-zamku-v-hornim-marsove-je-podle-hasicu-umyslne-zapaleni-nebo-nedbalost-gtc-/zpravy-domov.aspx?c=A180820_153639_ln_domov_Ceh,Příčinou požáru zámku v Horním Maršově je podle hasičů úmyslné zapálení nebo nedbalost,Nejpravděpodobnější příčinou nedělního požáru zámku v Horním Maršově na Trutnovsku je úmyslné zapálení nebo nedbalostní...,lidovky.cz,title
https://www.lidovky.cz/policie-obvinila-po-demonstraci-radikalu-v-dubi-sest-lidi-z-loupeze-po-utoku-na-novinare-guy-/zpravy-domov.aspx?c=A180820_113652_ln_domov_ele,Policie obvinila po demonstraci radikálů v Dubí šest lidí z loupeže po útoku na novináře,Policie obvinila v souvislosti se sobotní demonstrací proti násilí v...,lidovky.cz,title
https://www.lidovky.cz/hamacek-neuvazuje-ze-by-skoncil-na-vnitru-a-zustal-sefem-diplomacie-kandidatem-je-dal-poche-gwy-/zpravy-domov.aspx?c=A180820_110955_ln_domov_ele,"Hamáček neuvažuje, že by skončil na vnitru a zůstal šéfem diplomacie. Kandidátem je dál Poche","Předseda sociální demokracie ČSSD Jan Hamáček neuvažuje o variantě,...",lidovky.cz,title
https://www.lidovky.cz/papez-frantisek-dopisem-odsoudil-sexualni-zneuzivani-v-cirkvi-ps2-/zpravy-svet.aspx?c=A180820_143936_ln_zahranici_ele,Papež František dopisem odsoudil sexuální zneužívání v církvi,Papež František v pondělí v otevřeném dopise všem katolíkům odsoudil...,lidovky.cz,title
https://www.lidovky.cz/ve-spanelsku-najel-muz-s-autem-do-lidi-a-utekl-na-miste-zustali-tri-zraneni-158-/zpravy-svet.aspx?c=A180820_120928_ln_zahranici_mha,Ve Španělsku najel muž s autem do lidí a utekl. Na místě zůstali tři zranění,"Tři lidé byli zraněni v severošpanělském městě Casetas poté, co vjel...",lidovky.cz,title
https://www.lidovky.cz/cesi-ani-slovaci-si-nepripominaji-prazske-jaro-vsima-si-francouzsky-denik-le-monde-g26-/zpravy-svet.aspx?c=A180820_152053_ln_zahranici_Ceh,"Češi ani Slováci si nepřipomínají pražské jaro, všímá si francouzský deník Le Monde","Z nového průzkumu vypracovaného sociology České a Slovenské akademie věd vyplývá, že jen polovina Čechů a třetina...",lidovky.cz,title
https://byznys.lidovky.cz/pepsico-prevezme-za-3-2-miliardy-dolaru-firmu-sodastream-pj3-/firmy-trhy.aspx?c=A180820_090108_firmy-trhy_ele,"PepsiCo převezme za 3,2 miliardy dolarů firmu SodaStream","Americký nápojový gigant PepsiCo převezme za 3,2 miliardy dolarů (72,1 miliardy Kč) izraelského producenta zařízení pro...",lidovky.cz,title
https://byznys.lidovky.cz/centralni-nakup-statu-nefunguje-a-uspory-neprinasi-uvedl-nku-pu5-/statni-pokladna.aspx?c=A180820_081048_statni-pokladna_ele,"Centrální nákup státu nefunguje a úspory nepřináší, uvedl NKÚ",Centrální nákup státu po čtyřech letech od spuštění nefunguje a nepřináší očekávané úspory. Téměř nikdo také nevyužívá...,lidovky.cz,title
https://www.lidovky.cz/recko-opousti-zachranny-program-a-zacina-si-pujcovat-samo-nyni-dluzi-322-miliard-eur-gkr-/zpravy-svet.aspx?c=A180820_070759_ln_zahranici_ele,Řecko opouští záchranný program a začíná si půjčovat samo. Nyní dluží 322 miliard eur,"Řecko se v pondělí po osmi letech pouští záchranného lana, které mu...",lidovky.cz,title
https://byznys.lidovky.cz/za-chladek-v-byte-se-priplaci-dgq-/firmy-trhy.aspx?c=A180819_162731_firmy-trhy_ele,"Za chládek v bytě se připlácí. Developeři vymýšlejí cesty, jak bojovat s horkem",Čím dál více lidí si kvůli stále častějším parnům pořizuje bydlení s...,lidovky.cz,title
https://sport.lidovky.cz/zvrhly-lekar-sexualne-zneuzival-olympijskou-vitezku-ta-na-podporu-dalsim-obetem-zavodila-v-tyrkysov-ivi-/ostatni-sporty.aspx?c=A180820_115325_ln-sport-ostatni_lar,Zvrhlý lékař sexuálně zneužíval olympijskou vítězku. Ta na podporu dalším obětem závodila v tyrkysovém,Čtyřnásobná olympijská vítězka z Ria Simone Bilesová při návratu dominovala na americkém šampionátu...,lidovky.cz,title
https://sport.lidovky.cz/zeny-na-fotbale-nechceme-na-rande-chodte-jinam-vzkazuji-ultrapravicovi-fanousci-lazia-muzum-icd-/fotbal.aspx?c=A180813_160316_ln-sport-hokej_rkj,"Ženy na fotbale nechceme. Na rande choďte jinam, vzkazují ultrapravicoví fanoušci Lazia mužům","Kdo dorazil na sobotní utkání fotbalového Lazia, dostal do ruky ten leták také. Psali ho zástupci...",lidovky.cz,title
https://sport.lidovky.cz/blbi-a-blbejsi-japonsti-basketbaliste-byli-vyhozeni-kvuli-noci-s-zenami-balili-je-v-tymovem-oblece-inf-/ostatni-sporty.aspx?c=A180820_120942_ln-sport-ostatni_lar,"Blbí a blbější. Japonští basketbalisté byli vyloučeni kvůli noci s ženami, balili je v týmovém oblečení","Vedení japonské delegace na Asijských hrách poslalo domů čtyři členy basketbalového týmu za to, že...",lidovky.cz,title
https://www.lidovky.cz/cesti-filmari-zacnou-21-srpna-drzet-hladovku-za-ukrajinskeho-rezisera-sencova-18b-/kultura.aspx?c=A180820_152941_ln_kultura_Ceh,Čeští filmaři začnou 21. srpna držet hladovku za ukrajinského režiséra Sencova,Čeští filmaři začnou v úterý držet řetězovou hladovku na podporu vězněného ukrajinského režiséra Oleha Sencova a jeho...,lidovky.cz,title
