link,link_text,txt,site,area
https://www.lidovky.cz/experti-komentuji-vanocni-poselstvi-milose-zemana-a-hrozbu-pesti-1cu-/zpravy-domov.aspx?c=A171227_181923_ln_domov_rsa,"Zemanova zaťatá pěst? Promyšlený vzkaz voličům, shodují se odborníci","Sevřel svou pravou ruku v pěst, zvedl ji do úrovně svého obličeje a několikrát s ní zamával před televizní kamerou....",lidovky.cz,title
//www.lidovky.cz/novinar.aspx?idnov=2368,Šárka Kabátová,"Slova, která se objevila v článku prestižního listu The Economist, mohla někomu vyrazit dech. Britský magazín uznávaný...",lidovky.cz,title
//www.lidovky.cz/novinar.aspx?idnov=3808,Robert Sattler,"Premiér Andrej Babiš by v budoucnu rád sestěhoval některá ministerstva do jednoho areálu, takzvané vládní čtvrti....",lidovky.cz,title
//www.lidovky.cz/novinar.aspx?idnov=3653,Eliška Nová,Obejít zákon o emisích by mělo být od Nového roku složitější. Spolu s prvním lednem totiž začnou kontroloři pořizovat...,lidovky.cz,title
//www.lidovky.cz/novinar.aspx?idnov=3899,Jaroslav Totušek,"Ačkoliv kritiku Poslední z Jediů oslovil, tak někteří z fanoušků ságy Star Wars z filmu nadšení nejsou. Z rozhořčení...",lidovky.cz,title
https://www.lidovky.cz/zverina-pestni-projev-neprimerene-reakce-zemanovi-pomahaji-plk-/nazory.aspx?c=A171227_211619_ln_nazory_sij,Pěstní projev. Nepřiměřené reakce Zemanovi pomáhají,"Hrozil prezident Zeman občanům, nebo jen politikům? Smí prezident hrozit pěstí...",lidovky.cz,title
https://www.lidovky.cz/snih-vitr-a-dest-komplikuji-dopravu-v-nekterych-krajich-pjv-/zpravy-domov.aspx?c=A171228_074548_ln_domov_ele,"Sníh, vítr a déšť komplikují dopravu v některých krajích",Ředitelství silnic a dálnic varuje před nepříznivými podmínkami na vozovkách. Sněžení nebo srážky deště se sněhem od...,lidovky.cz,title
https://www.lidovky.cz/ministerstvo-financi-dostalo-zaverecnou-zpravu-olaf-o-kauze-capi-hnizdo-1qn-/zpravy-domov.aspx?c=A171227_174536_ln_domov_ele,Ministerstvo financí dostalo závěrečnou zprávu OLAF o kauze Čapí hnízdo,Ministerstvo financí ve středu obdrželo závěrečnou zprávu Evropského úřadu pro boj proti podvodům (OLAF) o prošetření...,lidovky.cz,title
https://www.lidovky.cz/ustavni-soud-obdrzel-stiznost-holovske-kvuli-kandidatum-na-prezidenta-1ai-/zpravy-domov.aspx?c=A171227_154656_ln_domov_ele,Holovská si stěžuje soudu na prezidentské kandidáty. Senátoři podpořili více adeptů,"Ústavní soud obdržel stížnost Terezie Holovské, která už dříve...",lidovky.cz,title
https://www.lidovky.cz/privoz-nahrazujici-spadlou-lavku-v-troji-je-mimo-provoz-pk6-/zpravy-domov.aspx?c=A171227_105846_ln_domov_ele,"‚Prokletá‘ Troja. Přívoz, který nahradil zřícenou lávku, byl 2 hodiny mimo provoz",Přívoz mezi Císařským ostrovem a Trojou byl ve středu mimo provoz....,lidovky.cz,title
https://www.lidovky.cz/americane-posunuji-imigracni-kontrolu-mimo-usa-na-letistich-pribudou-agenti-v-civilu-goy-/zpravy-svet.aspx?c=A171227_161234_ln_zahranici_mha,Američané posunují imigrační kontrolu mimo USA. Na letištích přibudou ‚agenti‘ v civilu,Dva tisíce zaměstnanců ministerstva pro vnitřní bezpečnost USA bylo...,lidovky.cz,title
https://www.lidovky.cz/putin-oznacil-vybuch-v-petrohradskem-supermarketu-za-teroristicky-utok-1li-/zpravy-svet.aspx?c=A171228_092143_ln_zahranici_ele,Putin označil výbuch v petrohradském supermarketu za teroristický útok,Ruský prezident Vladimir Putin ve čtvrtek označil za teroristický čin...,lidovky.cz,title
https://www.lidovky.cz/patnactilety-afghanec-ubodal-v-nemecku-stejne-starou-divku-poy-/zpravy-svet.aspx?c=A171227_213822_ln_zahranici_ele,Patnáctiletý Afghánec ubodal v Německu stejně starou dívku,"Patnáctiletý Afghánec ve středu v obchodě na západě Německa ubodal stejně starou dívku. Útoku předcházel spor,...",lidovky.cz,title
https://byznys.lidovky.cz/sazka-se-podle-rakouskeho-tisku-stane-nejvetsim-akcionarem-casinos-austria-17e-/firmy-trhy.aspx?c=A171227_200355_firmy-trhy_ele,Sazka se podle rakouského tisku stane největším akcionářem Casinos Austria,"Česká sázková společnost Sazka Group získala veškerá úřední povolení k tomu, aby se stala největším akcionářem rakouské...",lidovky.cz,title
https://byznys.lidovky.cz/odbory-se-s-vedenim-spravy-zeleznic-nedohodly-na-rustu-mezd-pl1-/doprava.aspx?c=A171227_145358_firmy-trhy_ele,"Odbory se s vedením správy železnic nedohodly na zvýšení mezd. Chtějí růst o 6,5 procenta",Železniční odbory se s vedením Správy železniční dopravní cesty (SŽDC) nedohodly na zvýšení mezd zaměstnanců pro příští...,lidovky.cz,title
https://byznys.lidovky.cz/rok-2018-vice-penez-za-chronicke-pacienty-a-statni-pojistence-pol-/moje-penize.aspx?c=A171227_143017_moje-penize_ele,"Stát přidá peníze umírajícím doma, chronickým pacientům i dětem na bílé plomby",Zdravotní pojišťovny dostanou v příštím roce více peněz za chronické...,lidovky.cz,title
https://byznys.lidovky.cz/asociace-banky-chteji-v-pristim-roce-zrychlit-prevod-plateb-pqr-/moje-penize.aspx?c=A171227_121353_moje-penize_ele,Banky chtějí v roce 2018 zrychlit převody. Peníze mají přesunout z účtu na účet za pár vteřin,České banky chtějí v příštím roce umožnit klientům převod plateb z...,lidovky.cz,title
https://sport.lidovky.cz/jednoho-favorita-skolili-po-rusech-ceka-na-ceske-hokejove-mladiky-svedsko-1r0-/hokej.aspx?c=A171227_194301_ln-sport-hokej_atv,Jednoho favorita skolili. Po Rusech čeká na české hokejové mladíky Švédsko,Po skvělé úvodní výhře nad Ruskem čeká večer od 22:00 hodin v americkém Buffalu české hokejisty na juniorském MS duel s...,lidovky.cz,title
https://www.lidovky.cz/kinterovy-nervous-trees-pritahly-do-rudolfina-pres-160-tisic-lidi-pho-/kultura.aspx?c=A171227_191844_ln_kultura_ele,Kinterovy Nervous Trees přitáhly do Rudolfina přes 160 tisíc lidí,Výstavu Krištofa Kintery nazvanou Nervous Trees od začátku září navštívilo 161 824 lidí. Jen ve...,lidovky.cz,title
https://www.lidovky.cz/filmove-premiery-daniel-radcliffe-se-potyka-s-prirodou-hugh-jackman-zase-s-publikem-gex-/kultura.aspx?c=A171227_103407_ln_kultura_jto,"Filmové premiéry: Daniel Radcliffe se potýká s přírodou, Hugh Jackman zase s publikem",Poslední prosincový týden míří do kin tři snímky. Životopisný film na motivy osudů největšího...,lidovky.cz,title
