link,link_text,txt,site,area
https://www.lidovky.cz/svet/rusky-letoun-ve-venezuele-vyvolava-dohady-rusove-pry-chteji-odvezt-20-tun-zlata.A190131_145418_ln_zahranici_mha,Ruský letoun ve Venezuele vyvolává dohady. Rusové prý chtěli odvézt 20 tun zlata,Letadlo ruské společnosti Nordwind již od úterý stálo na ploše caracaského letiště. Důvod jeho přítomnosti zůstává...,lidovky.cz,title
https://www.lidovky.cz/novinari/eliska-nova.N3653,Eliška Nová,Dostavbu Pražského okruhu má nová koalice v Praze mezi svými prioritami. Řešit přitom pomalu začíná i severní část...,lidovky.cz,title
https://www.lidovky.cz/novinari/michal-bernath.N3981,Michal Bernáth,Přesně před 75 lety obdržel kapitán a navigátor letounu Liberator prestižní vyznamenání od britské letectva. Jmenovali...,lidovky.cz,title
https://www.lidovky.cz/novinari/michal-bernath.N3981,Michal Bernáth,"Dokumenty z hloubi britského archivu vydaly svědectví o nejúspěšnějším zásahu československých letců proti Třetí říši,...",lidovky.cz,title
https://www.lidovky.cz/domov/tlapky-sobe-psa-zapadleho-v-hluboke-nore-zachranil-jeho-ctyrnohy-kolega.A190131_121837_ln_domov_rsa,Tlapky sobě. Psa zapadlého v hluboké noře zachránil jeho ‚čtyřnohý kolega‘,"Šťastný konec má příběh ze zvířecí říše, který se odehrál ve středu v Plasech na Plzeňsku. U tamního rybníka zapadl do...",lidovky.cz,title
https://www.lidovky.cz/monitor-jana-machacka/machacek-jak-v-japonsku-museli-rehumanizovat-hotel.A190131_125455_monitor-jana-machacka_pev,Jak v Japonsku museli rehumanizovat hotel,"Kam se člověk podívá, vyskakuje na něj umělá inteligence a robotizace. Této...",lidovky.cz,title
https://www.lidovky.cz/domov/netusime-co-britanie-chce-mini-babis-cesko-nebude-jednat-ohledne-brexitu-samostatne.A190131_152558_ln_domov_form,"Netušíme, co Británie chce, míní Babiš. Česko nebude jednat ohledně brexitu samostatně","Česko podporuje jednotný postup Evropské unie k vystoupení Velké Británie a není důvod, aby o záležitosti jednalo...",lidovky.cz,title
https://www.lidovky.cz/domov/zalozeni-firmy-za-jeden-den-pirati-navrhuji-aby-slo-podniky-zakladat-pres-internet.A190131_151046_ln_domov_form,"Založení firmy za jeden den. Piráti navrhují, aby šlo podniky zakládat přes internet","Zakládání firem přes internet umožňuje novela zákona, kterou ve středu představili Piráti. Založení firmy by trvalo...",lidovky.cz,title
https://www.lidovky.cz/byznys/pravo-a-justice/jako-prezident-se-chovali-komunisti-pred-rokem-1989-pravnici-kritizovali-hrad-za-ovlivnovani-just.A190127_163123_ln_byznys_pravo_ssu,‚Jako prezident se chovali komunisti před rokem 1989.‘ Právníci kritizovali Hrad za ovlivňování justice,Prezident Miloš Zeman a hradní kancléř Vratislav Mynář byli nařčeni...,lidovky.cz,title
https://www.lidovky.cz/domov/nejvetsi-kozesinova-farma-v-cr-skoncila-majitel-chce-po-statu-kompenzace.A190131_124115_ln_domov_form,"Největší kožešinová farma v Česku skončila, majitel chce po státu kompenzace",Majitel největší české kožešinové farmy ve Velkém Ratmírově na...,lidovky.cz,title
https://www.lidovky.cz/svet/33-000-lidi-na-vychode-syrie-podle-who-trpi-mrazem-zemrelo-uz-temer-tricet-deti-situace-je-kritick.A190131_141033_ln_zahranici_form,"Uprchlíci v Sýrii umírají zimou. V kritické situaci je 33 tisíc lidí, varuje WHO",Světová zdravotnická organizace (WHO) požaduje okamžitě zpřístupnění...,lidovky.cz,title
https://www.lidovky.cz/svet/na-ukrajine-zabavili-kontraband-s-ceskymi-samopaly-ktere-se-mely-nasledne-prodavat.A190131_074402_ln_zahranici_form,Na Ukrajině zabavili kontraband s českými samopaly Škorpion. Do země se dostaly jako ‚lovecké zbraně‘,Ukrajinští vyšetřovatelé zabavili zásilku zbraní vyslanou do Oděsy z...,lidovky.cz,title
https://www.lidovky.cz/svet/stredozapad-usa-celi-extremnim-teplotam-v-chicagu-je-vetsi-zima-nez-na-antarktide.A190131_115653_ln_zahranici_krku/foto,OBRAZEM: USA sevřené v ledu. V Chicagu je větší zima než na Antarktidě,"Státy Wisconsin, Michigan a Illinois na americkém středozápadě vyhlásily stav nouze kvůli extrémním mrazům, které v...",lidovky.cz,title
https://www.lidovky.cz/byznys/statni-pokladna/cesko-loni-ziskalo-od-evropske-unie-o-45-3-miliardy-korun-vice-nez-zaplatilo.A190131_140240_statni-pokladna_form,"Česko loni získalo od EU o 45,3 miliardy korun více, než do ni odvedlo","Česká republika loni získala z rozpočtu Evropské unie o 45,3 miliardy Kč více, než do něj odvedla. Informovalo o tom...",lidovky.cz,title
https://www.lidovky.cz/byznys/doprava/uber-konci-v-barcelone-spolecne-se-sluzbou-cabify-ho-k-tomu-nuti-prisnejsi-pravidla.A190131_124857_ln_zahranici_form,"Uber končí v Barceloně, společně se službou Cabify. Nutí je k tomu přísnější pravidla","Alternativní taxislužby Uber a Cabify přeruší poskytování svých služeb v Barceloně. Nutí je k tomu přísnější pravidla,...",lidovky.cz,title
https://www.lidovky.cz/byznys/firmy-a-trhy/modni-e-shop-zoot-cz-v-problemech-dluzi-pres-400-milionu-a-zavira-temer-polovinu-prodejen.A190131_113115_firmy-trhy_pkk,Módní e-shop Zoot.cz v problémech. Dluží přes 400 milionů a zavírá téměř polovinu prodejen,Zadlužený e-shop s oblečením Zoot.cz získal investici v řádu desítek...,lidovky.cz,title
https://www.lidovky.cz/byznys/energetika/cez-proveruje-moznost-prodlouzit-provoz-starych-bloku-dukovan-o-deset-let-do-roku-2045.A190131_112104_energetika_form,ČEZ prověřuje možnost prodloužit provoz starých bloků Dukovan o deset let do roku 2045,Společnost ČEZ prověřuje možnosti provozu nynějších bloků Jaderné...,lidovky.cz,title
https://www.lidovky.cz/sport/nazory/zuzeni-hokejovych-soutezi-pomuze-sportovne-i-ekonomicky.A190131_142531_ln-sport-nazory_rkj,KOMENTÁŘ: Zúžení hokejových soutěží? Pomůže sportovně i ekonomicky,"To, že v hokejovém Chomutově není něco v pořádku, se šuškalo mezi fanoušky dlouhá léta. Časté...",lidovky.cz,title
https://www.lidovky.cz/sport/ostatni-sporty/thajka-bezela-tricet-kilometru-se-ztracenym-stenetem-v-naruci.A190131_103939_ln-sport-ostatni_rkj,VIDEO: Vrchol roztomilosti. Thajka běžela třicet kilometrů se ztraceným štěnětem v náručí,"Běžela maraton, když si všimla u cesty maličkého stvoření, které ostatní ani nezaznamenali. Thajské...",lidovky.cz,title
https://www.lidovky.cz/sport/ostatni-sporty/sachovy-big-vlad-odchazi-je-nesmyslne-velebit-udajnou-demokracii-v-rusku-v-90-letech-rikal.A190130_213356_ln-sport-ostatni_rkj,Mistr světa i obdivovatel Putina. Šachový Big Vlad končí svou bohatou kariéru,Čtrnáctý mistr světa šachové historie Vladimir Kramnik předevčírem oznámil ukončení své velké...,lidovky.cz,title
https://www.lidovky.cz/kultura/soutez-ve-valce-vyhrajte-novou-knihu-lenky-klicperove-a-markety-kutilove.A190129_162919_ln_kultura_ape,SOUTĚŽ: Ve válce. Vyhrajte novou knihu Lenky Klicperové a Markéty Kutilové,Novinářky Lenka Klicperová a Markéta Kutilová tvoří už 10 let sehraný novinářský i kamarádský tandem. Během sedmi cest...,lidovky.cz,title
https://www.lidovky.cz/lide/vezenska-komise-navrhla-propusteni-clenky-mansonovy-rodiny-za-vzorne-chovani.A190131_071903_ln_zahranici_form,Dostane se členka Mansonovy rodiny po 48 letech na svobodu? Vězeňská komise navrhla její propuštění,"Kalifornská vězeňská komise ve středu navrhla podmínečné propuštění Leslie Van Houtenové, nejmladší členky skupiny kolem masového vraha Charlese Mansona, která si odpykává doživotní trest za brutální vraždy z roku 1969. Manson v roce 1967 založil na sklonku éry hippies komunitu, která se do dějin...",lidovky.cz,title
https://www.lidovky.cz/relax/cekstajl-adama-junka/proc-je-v-zahranici-levnejsi-da-se-smoking-v-cesku-sehnat-za-prijatelnou-cenu.A190130_090730_ln-cekstajl_ape,Proč je v zahraničí levnější. Dá se smoking v Česku sehnat za přijatelnou cenu?,"Opakování je matka moudrosti. A proto, i když už se Čekstajl minimálně jednou ctěním pravidel oblékání pro společenské...",lidovky.cz,title
https://www.lidovky.cz/relax/domaci-mazlicci/pejskari-v-teheranu-nesmeji-se-svymi-mazlicky-na-verejna-mista.A190130_091757_domaci-mazlicci_ape,Park i auta jsou zakázaná. Pejskaři v Teheránu nesmějí se svými mazlíčky na veřejná místa,"Majitelé psů v Teheránu nesmějí se svými mazlíčky chodit na veřejná místa, protože prý u lidí vzbuzují strach,...",lidovky.cz,title
https://www.lidovky.cz/cestovani/aktuality/na-horach-v-ceskem-aspenu-medvedin-po-hranach-misecky-vzduchem.A190131_111108_aktuality_ape,"Na horách v českém Aspenu. Medvědín po hranách, Mísečky vzduchem","Medvědín jsme navštívili v týdnu, kdy jsme měli štěstí na dopolední...",lidovky.cz,title
