link,link_text,txt,site,area
https://www.lidovky.cz/podle-slovenskeho-policejniho-prezidenta-ma-vrazda-novinare-kuciaka-ceskou-stopu-g2f-/zpravy-svet.aspx?c=A180227_150940_ln_zahranici_mha,"Vražda novináře Kuciaka má českou stopu, řekl slovenský policejní prezident",Podle slovenské policie má vražda slovenského investigativního novináře Jána Kuciaka českou stopu. Vyšetřovatelé jsou...,lidovky.cz,title
https://www.lidovky.cz/babis-chce-aby-ve-funkci-skoncil-reditel-gibs-murin-dvakrat-ho-vyzval-k-rezignaci-gfu-/zpravy-domov.aspx?c=A180227_121109_ln_domov_mpr,"‚Když se dohodneme, bude to bez skandálu.‘ Babiš chce rezignaci ředitele GIBS Murína",Premiér v demisi Andrej Babiš (ANO) vyzval ředitele Generální inspekce bezpečnostních sborů (GIBS) Michala Murína k...,lidovky.cz,title
https://www.lidovky.cz/turecky-vicepremier-propusteni-muslima-je-podporou-teroristu-ps4-/zpravy-svet.aspx?c=A180227_141806_ln_zahranici_ele,"Propuštění Muslima je podporou teroristů, vzkázalo Turecko Česku v nótě",Rozhodnutí českého soudu neuvalit vazbu na kurdského politika Sáliha Muslima je politické a znamená podporu...,lidovky.cz,title
//www.lidovky.cz/novinar.aspx?idnov=3851,Martin Hampejs,"Premiérova asistentka Mária Trošková podnikala ve firmě s Antoniem Vadalem, který má údajně blízko k italské mafii....",lidovky.cz,title
//www.lidovky.cz/novinar.aspx?idnov=1572,Antonín Vavrda,Dvojnásobná olympijská šampionka z Pchjongčchangu Ester Ledecká je v Praze. V pondělí odpoledne bavila celé...,lidovky.cz,title
https://www.lidovky.cz/machacek-jak-cist-posledni-pruzkum-a-nezlomna-fronta-ctyr-p3c-/monitor-jana-machacka.aspx?c=A180227_123012_monitor-jana-machacka_mpr,Jak číst poslední průzkum a nezlomná fronta čtyř,Podle únorového volebního modelu CVVM by nyní ve sněmovních volbách zvítězilo...,lidovky.cz,title
https://www.lidovky.cz/hamacek-rekl-zemanovi-ze-cssd-chce-jednat-o-prime-ucasti-ve-vlade-pw5-/zpravy-domov.aspx?c=A180227_162408_ln_domov_ele,"Hamáček řekl Zemanovi, že ČSSD chce jednat o přímé účasti ve vládě","Nově zvolený předseda ČSSD Jan Hamáček v úterý informoval prezidenta Miloše Zemana o tom, že sociální demokracie chce...",lidovky.cz,title
https://www.lidovky.cz/policie-proveri-ridice-autobusu-prejel-koleje-tesne-pred-vlakem-p8q-/zpravy-domov.aspx?c=A180227_152621_ln_domov_ele,"VIDEO: Policie prověří řidiče autobusu, přejel koleje ve Frýdku-Místku těsně před vlakem","Policie vyšetřuje počínání řidiče linkového autobusu, který ve Frýdku-Místku přejel železniční přejezd na červenou....",lidovky.cz,title
https://www.lidovky.cz/za-vyroky-o-letech-nakonec-snemovna-okamuru-z-funkce-mistopredsedy-odvolavat-nebude-gny-/zpravy-domov.aspx?c=A180227_144926_ln_domov_ele,Za výroky o Letech nakonec sněmovna Okamuru z funkce místopředsedy odvolávat nebude,Sněmovna nebude na nynější schůzi hlasovat o odvolání předsedy SPD...,lidovky.cz,title
https://www.lidovky.cz/sef-spd-tomio-okamura-se-pred-poslanci-ano-omluvil-za-vyroky-o-letech-1je-/zpravy-domov.aspx?c=A180227_133748_ln_domov_ele,Šéf SPD Tomio Okamura se před poslanci ANO omluvil za výroky o Letech,Předseda SPD Tomio Okamura v úterý na jednání poslanců ANO omluvil za...,lidovky.cz,title
https://www.lidovky.cz/erdogan-rozplakal-holcicku-rekl-ji-ze-muze-zemrit-mucednickou-smrti-a-polibil-ji-gfx-/zpravy-svet.aspx?c=A180227_165956_ln_zahranici_mha,"VIDEO: Erdogan rozplakal holčičku. Řekl jí, že může zemřít mučednickou smrtí a políbil ji","Turecký prezident Recep Tayyip Erdogan se stal terčem kritiky za to,...",lidovky.cz,title
https://www.lidovky.cz/turecky-ministr-nebudeme-jednat-o-vymene-muslima-za-dva-cechy-pui-/zpravy-svet.aspx?c=A180227_101353_ln_zahranici_ele,Turecký ministr: Nebudeme jednat o výměně Muslima za dva Čechy,"Turecký ministr spravedlnosti Abdülhamit Gül doufá, že český soud v...",lidovky.cz,title
https://www.lidovky.cz/v-kosicich-hori-danovy-urad-na-miste-zasahuje-dvanact-hasicskych-jednotek-1rj-/zpravy-svet.aspx?c=A180227_123620_ln_zahranici_mha,V Košicích hoří daňový úřad. Na místě zasahuje dvanáct hasičských vozidel,Centrem Košic se šíří hustý černý dým. Ze střechy daňového úřadu na Železniční ulici šlehají plameny. Podle operačního...,lidovky.cz,title
https://byznys.lidovky.cz/system-penzi-byl-loni-poprve-po-osmi-letech-v-plusu-a-to-0-9-mld-puj-/statni-pokladna.aspx?c=A180227_151848_ln_domov_ele,"Systém penzí byl loni poprvé po osmi letech v plusu, a to 0,9 miliardy","Důchodový systém v Česku se loni poprvé po osmi letech dostal ze schodku. Na penze se vybralo o 0,9 miliardy víc, než...",lidovky.cz,title
https://byznys.lidovky.cz/soud-dovolil-nemeckym-mestum-zakazat-jizdu-autum-na-naftu-pn5-/doprava.aspx?c=A180227_121553_ln-doprava_ele,Soud dovolil německým městům zakázat diesly. Zlevní auta na naftu v Česku?,Řidiči musí počítat se zákazy jízdy starších naftových aut v některých německých městech. Spolkový správní soud v...,lidovky.cz,title
