link,link_text,txt,site,area
https://www.lidovky.cz/babis-nebude-chtit-po-metnarovi-aby-kvuli-diplomove-praci-rezignoval-1jv-/zpravy-domov.aspx?c=A180725_142556_ln_domov_form,"Babiš nebude chtít po Metnarovi, aby kvůli diplomové práci rezignoval",Premiér Andrej Babiš (ANO) nebude po ministrovi obrany Lubomíru Metnarovi (za ANO) požadovat rezignaci kvůli...,lidovky.cz,title
https://www.lidovky.cz/otraveny-brit-strikla-si-to-na-zapesti-a-pretrela-za-15-minut-uz-kolabovala-1rv-/zpravy-svet.aspx?c=A180725_123418_ln_zahranici_form,Novičokem otrávený Brit: Dawn si ‚parfém‘ stříkla na zápěstí a přetřela. Za 15 minut začala kolabovat,"Brit, který přežil kontakt s nervově paralytickou látkou novičok, popsal v televizi, jak si jeho partnerka tuto látku v...",lidovky.cz,title
https://www.lidovky.cz/drivejsi-soudce-h-systemu-druzstva-svatopluk-je-mi-lito-ale-zavinili-si-to-sami-g0h-/zpravy-domov.aspx?c=A180725_124451_ln_domov_form,"Exsoudce: Pochybuji, zda si prezident pamatuje, jaká byla úloha v H-Systemu jeho nejbližších spolupracovníků","Členové družstva Svatopluk věděli už při projednávání trestní kauzy H-Systemu, že bydlí v majetku z konkurzní podstaty....",lidovky.cz,title
https://sport.lidovky.cz/nedved-je-pry-na-odchodu-z-juventusu-muze-za-to-ocekavany-prichod-zidaneho-1tc-/fotbal.aspx?c=A180725_142707_ln-sport-fotbal_lar,Nedvěd je prý na odchodu z Juventusu. Může za to očekávaný příchod Zidaneho?,"Pavel Nedvěd je prý na odchodu z Juventusu Turín. Viceprezident klubu, který je členem vedení staré dámy od roku 2009,...",lidovky.cz,title
//www.lidovky.cz/novinar.aspx?idnov=493,Jana Machalická,"V jihofrancouzském Antibes je muzeum Pabla Picassa s malou, ale kvalitní sbírkou. Zde mi po letech padla do rukou...",lidovky.cz,title
https://www.lidovky.cz/machacek-trump-navrhuje-zrusit-vsechna-cla-a-tarify-fhr-/monitor-jana-machacka.aspx?c=A180725_124300_monitor-jana-machacka_vlh,Trump navrhuje zrušit všechna cla a tarify,"Předseda Evropské komise Jean-Claude Juncker se ve středu vydal přes Atlantik,...",lidovky.cz,title
https://www.lidovky.cz/v-rodnem-listu-mel-tri-roky-napsano-misto-jmena-nezjisteno-rodice-thymiana-vysoudili-30-tisic-ido-/zpravy-domov.aspx?c=A180725_132744_ln_domov_form,V rodném listu měl tři roky místo jména „nezjištěno“. Rodiče Thymiana vysoudili 30 tisíc,"Rodiče chlapce Thymiana dostanou od ministerstva vnitra odškodné 30 tisíc korun za to, že matrika původně nezapsala...",lidovky.cz,title
https://www.lidovky.cz/advokat-teryngel-stat-pripravil-o-118-milionu-neuspel-s-dovolanim-dostal-podminku-g1s-/zpravy-domov.aspx?c=A180725_091127_ln_domov_form,"Teryngel a spol. stát připravili o 118 milionů. Advokát neuspěl s dovoláním, dostal podmínku","Nejvyšší soud odmítl dovolání pražského advokáta Jiřího Teryngela, který dostal podmínku za podíl na krácení daně v...",lidovky.cz,title
https://www.lidovky.cz/babis-zprostredkuje-jednani-konkurzniho-spravce-h-systemu-monsporta-a-druzstva-svatopluk-g90-/zpravy-domov.aspx?c=A180725_131920_ln_domov_form,Babiš zprostředkuje jednání konkurzního správce H-Systemu Monsporta a družstva Svatopluk,Premiér Andrej Babiš (ANO) má být zprostředkovatelem v jednání...,lidovky.cz,title
https://www.lidovky.cz/kvuli-podnikani-s-chudobou-v-ods-skoncil-kez-by-bylo-vic-takovych-vlastniku-jako-ja-haji-se-gwq-/zpravy-domov.aspx?c=A180724_095741_ln_domov_jho,"Kvůli ‚podnikání s chudobou‘ skončil u europoslance Pospíšila. Byl bych mediální přítěž, vysvětluje",Předseda jedné z místních organizací ODS v Jihočeském kraji Jan...,lidovky.cz,title
