link,link_text,txt,site,area
https://www.lidovky.cz/vy-z-prahy-porad-podcenujete-vesnicany-v-baste-hnuti-ano-ziskal-zeman-94-procent-hlasu-go0-/zpravy-domov.aspx?c=A180129_184845_ln_domov_sk,VIDEO: ‚Vy z Prahy podceňujete pracující vesničany’. V baště ANO získal Zeman 94 procent hlasů,Chmelařská obec Lišany na Lounsku se po volebním víkendu pyšní novým rekordem. Zatímco ve sněmovních volbách proslula...,lidovky.cz,title
https://www.lidovky.cz/karel-slezak-boxer-syndikat-novinaru-vylouceni-milos-zeman-stab-volby-top-hotel-gpx-/zpravy-domov.aspx?c=A180130_162138_ln_domov_rsa,"Syndikát novinářů vyloučil bývalého boxera, který v Zemanově štábu pěstmi napadl kameramana","Syndikát novinářů v úterý vyloučil ze svých řad Karla Slezáka, který ve volebním štábu Miloše Zemana napadl jiného...",lidovky.cz,title
//www.lidovky.cz/novinar.aspx?idnov=3851,Martin Hampejs,"Ruský miliardář Kirill Šamalov přišel v loňském roce o většinu svého miliardového majetku poté, co se rozvedl s dcerou...",lidovky.cz,title
//www.lidovky.cz/novinar.aspx?idnov=1572,Antonín Vavrda,"Český hokejový národ se pomalu dostává do ráže. Od chvíle, kdy se potvrdilo, že Jaromír Jágr se vrací do Evropy a bude...",lidovky.cz,title
//www.lidovky.cz/novinar.aspx?idnov=3808,Robert Sattler,"Stal se záminkou incidentu, při němž v sobotu v pražském Top Hotelu létaly pěsti. Člen KSČM v Praze a příležitostný...",lidovky.cz,title
https://www.lidovky.cz/machacek-dva-ruzne-pohledy-na-polsko-izraelsky-spor-fyk-/monitor-jana-machacka.aspx?c=A180130_133747_monitor-jana-machacka_mpr,Dva různé pohledy na polsko-izraelský spor,"Izraelský deník Jerusalem Post přináší dva propastně rozdílné pohledy na spor,...",lidovky.cz,title
https://www.lidovky.cz/cesti-vojaci-v-afghanistanu-od-rijna-celili-dvema-utokum-p28-/zpravy-domov.aspx?c=A180130_173050_ln_domov_ele,Čeští vojáci v Afghánistánu čelili od října dvěma útokům,"Česká strážní rota, která má za úkol v Afghánistánu hlídat okolí spojenecké základny Bagrám, od října čelila dvěma...",lidovky.cz,title
https://www.lidovky.cz/ministryne-slechtova-navstivila-ceske-vojaky-v-afghanistanu-pu1-/zpravy-domov.aspx?c=A180130_163757_ln_domov_ele,Ministryně Šlechtová navštívila české vojáky v Afghánistánu,"Ministryně obrany Karla Šlechtová (ANO) v pondělí a v úterý navštívila české vojáky, kteří jsou na misi v Afghánistánu....",lidovky.cz,title
https://www.lidovky.cz/prezident-zeman-bude-cely-pristi-tyden-na-dovolene-f8f-/zpravy-domov.aspx?c=A180130_161001_ln_domov_ele,Prezident Miloš Zeman bude celý příští týden na dovolené,Prezident Miloš Zeman bude celý příští týden na dovolené. Informoval...,lidovky.cz,title
https://www.lidovky.cz/rektor-mikulas-bek-politika-senat-kandidatura-f4r-/zpravy-domov.aspx?c=A180130_132858_ln_domov_rsa,Zemanův kritik Bek jedná s politickými stranami. Chce kandidovat do Senátu,Rektor brněnské Masarykovy univerzity Mikuláš Bek by se po skončení...,lidovky.cz,title
https://www.lidovky.cz/spustila-rvacky-v-obchodech-francouzske-urady-vysetruji-70-slevu-na-nutellu-17x-/zpravy-svet.aspx?c=A180130_170150_ln_zahranici_mha,Spustila rvačky v obchodech. Francouzské úřady vyšetřují 70% slevu na Nutellu,Rvačky i nadávky přinesla minulý týden sedmdesátiprocentní sleva na...,lidovky.cz,title
https://www.lidovky.cz/zemanova-odporna-kampan-ukazala-mnohe-o-budoucnosti-pise-washington-post-1rh-/zpravy-svet.aspx?c=A180130_131926_ln_zahranici_mha,"Zemanova ‚odporná kampaň‘ ukázala mnohé o stavu demokracie, píše Washington Post","Volby českého prezidenta vypovídají víc o stavu západní demokracie,...",lidovky.cz,title
https://www.lidovky.cz/ruska-stihacka-su-27-proletela-pouze-1-5-metru-od-spionazniho-letadla-usa-1mt-/zpravy-svet.aspx?c=A180130_125901_ln_zahranici_mha,"Další incident. Ruská stíhačka SU-27 proletěla 1,5 metru od špionážního letadla USA",Na pouhý jeden a půl metr se přiblížila ruská stíhačka k americkému letounu během incidentu v mezinárodním vzdušném...,lidovky.cz,title
https://byznys.lidovky.cz/masa-se-loni-v-cesku-vyrobilo-mene-zejmena-hoveziho-a-veproveho-psj-/firmy-trhy.aspx?c=A180130_160449_firmy-trhy_ele,"Masa se loni v Česku vyrobilo méně, zejména hovězího a vepřového","Produkce masa v Česku loni klesla o 2,5 procenta na 437 835 tun. Výroba se snížila především u vepřového masa, které...",lidovky.cz,title
