link,link_text,txt,site,area
https://www.lidovky.cz/domov/unik-smrtelne-jedovate-mamby-v-praze-vetsi-prusvih-nez-se-zda-mini-sef-zoo-bobek.A181003_122939_ln_domov_rsa,"Únik smrtelně jedovaté mamby v Praze? Větší průšvih, než se zdá, míní šéf zoo Bobek","Únik smrtelně jedovaté mamby zelené z domu v pražských Hlubočepech je mnohem větší průšvih, než se zdá. Tvrdí to...",lidovky.cz,title
https://www.lidovky.cz/domov/spaleni-obrich-trenek-pred-prezidentem-byl-prestupek-inspekce-pokarala-hrad-ovcacek-bez-komentare.A181003_135612_ln_domov_jho,"Spálení obřích trenek před prezidentem byl přestupek, inspekce pokárala Hrad. Ovčáček: Bez komentáře","Česká inspekce životního prostředí pokárala hlavu státu za to, že při ní svolaném happeningu na Pražském hradě vzplály...",lidovky.cz,title
https://www.lidovky.cz/novinari/vojtech-gibis.N1090,Vojtěch Gibiš,Měla to být operace trvající zhruba 30 minut. Plán byl jednoduchý: zajmout dva vůdce milice somálského diktátora...,lidovky.cz,title
https://www.lidovky.cz/novinari/robert-sattler.N3808,Robert Sattler,Komunální a senátní volby jsou za dveřmi. Už za pár dní budou mít tuzemské obce a města nová zastupitelstva a budou...,lidovky.cz,title
https://www.lidovky.cz/novinari/ondrej-koutnik.N2898,Ondřej Koutník,Mezi vysokými obytnými domy se v těsné blízkosti pražského Petrského náměstí krčí drobné stavení se střízlivým nápisem...,lidovky.cz,title
https://www.lidovky.cz/monitor-jana-machacka/machacek-extremisti-a-eurofobove-jako-klubko-zmiji.A181003_131646_monitor-jana-machacka_vlh,Extremisti a eurofobové jako klubko zmijí,Podle článku Tonyho Barbera ve Financial Times už si pravicoví populisté a...,lidovky.cz,title
https://www.lidovky.cz/domov/obchodni-dum-kotva-byl-prohlasen-za-kulturni-pamatku-rizeni-jeste-pokracuje.A181003_153641_ln_domov_tn,"Obchodní dům Kotva byl prohlášen za kulturní památku, řízení ještě pokračuje",Ministerstvo kultury prohlásilo za kulturní památku pražský obchodní dům Kotva a polikliniku Pod Marjánkou v Břevnově....,lidovky.cz,title
https://www.lidovky.cz/domov/za-ubiti-dvou-zen-si-slovensky-bezdomovec-odpyka-celkem-35-let-pak-bude-vyhosten-z-ceska.A181003_130042_ln_domov_tn,"Ubil dvě ženy. Slovenský bezdomovec si odpyká celkem 35 let, pak bude vyhoštěn","Vrchní soud v Praze ve středu potvrdil trest pro bezdomovce ze Slovenska Ľubomíra Poláka, který podle rozsudku mezi...",lidovky.cz,title
https://www.lidovky.cz/domov/v-olomouckem-kraji-se-nebude-volit-pouze-na-klasickych-mistech-volici-mohou-prijit-i-do-hospody-nebo-na-statek.A181003_144244_ln_domov_tn,"V Olomouckém kraji se nebude volit pouze na klasických místech, voliči mohou přijít i do hospody nebo na statek","Na školách, obecních úřadech, v kulturních domech, hasičských...",lidovky.cz,title
https://www.lidovky.cz/domov/kvuli-rozmachu-airbnb-klesa-obsazenost-prazskych-hotelu.A181003_145828_ln_domov_tn,Kvůli rozmachu Airbnb klesá obsazenost pražských hotelů,Nárůst zájmu o sdílené ubytování prostřednictvím aplikací jako Airbnb...,lidovky.cz,title
https://www.lidovky.cz/svet/v-himalaji-se-uz-paty-den-pohresuje-cesky-horolezec-zachranne-operace-komplikuje-nepriznive-pocasi.A181003_131158_ln-sport-ostatni_tn,Zmizel při sestupu z osmitisícovky. V Himálaji se pátý den pohřešuje český horolezec,V Himálaji se pátý den pohřešuje český horolezec. Podle serveru...,lidovky.cz,title
https://www.lidovky.cz/svet/nobelovu-cenu-za-chemii-ziskali-dva-americane-a-brit-za-vyzkum-bilkovin.A181003_121516_ln_zahranici_tn,Nobelovu cenu za chemii získali dva Američané a Brit. Zkoumají bílkoviny,"Letošní Nobelovu cenu za chemii získali Američanka Frances Arnoldová,...",lidovky.cz,title
https://www.lidovky.cz/svet/mayova-predpovida-britanii-svetlou-budoucnost-vyzvala-k-jednote.A181003_151535_ln_zahranici_tn,"Mayová předpovídá Británii světlou budoucnost, vyzvala k jednotě","Britská premiérka Theresa Mayová věří, že nejlepší dny má Británie teprve před sebou. V závěrečném projevu sjezdu...",lidovky.cz,title
