link,link_text,txt,site,area
https://www.lidovky.cz/kandidati-na-prezidenta-ceska-volby-2018-dxb-/zpravy-domov.aspx?c=A171107_130843_ln_domov_rsa,Koho byste rádi za nového prezidenta? Do boje o Hrad vstoupilo 18 kandidátů,HLASOVÁNÍ O prezidentské křeslo pro nadcházejících pět let se bude v lednových volbách ucházet osmnáctka kandidátů....,lidovky.cz,title
https://www.lidovky.cz/trumpove-autu-ukazala-prostrednik-hrdinka-internetu-prisla-o-praci-1gl-/zpravy-svet.aspx?c=A171107_112118_ln_zahranici_ele,Ukázala Trumpově koloně prostředníček. Kvůli fotografii přišla o práci,Fotografie ženy na kole ukazující prostředník projíždějící koloně amerického prezidenta Donalda Trumpa v posledních...,lidovky.cz,title
https://byznys.lidovky.cz/tuzemske-obchody-maji-silnou-konkurenci-amazon-spousti-e-shop-v-cestine-14j-/firmy-trhy.aspx?c=A171107_103916_firmy-trhy_kopp,Tuzemské obchody mají silnou konkurenci. Amazon spustil e-shop v češtině,Největší světový internetový obchod Amazon přeložil svůj německý e-shop do češtiny. Z více než 100 milionů produktů...,lidovky.cz,title
//www.lidovky.cz/novinar.aspx?idnov=1090,Vojtěch Gibiš,Patří k nejhorším sériovým vrahům Česka. Přesto je mnoho detailů činů Ivana Roubala obestřeno tajemstvím. Dvě oběti...,lidovky.cz,title
//www.lidovky.cz/novinar.aspx?idnov=2368,Šárka Kabátová,"Jde o soudní případ, který rozehrálo jedno video z rodinné jízdy umístěné na internet. “Rozpoutalo se peklo,” tvrdí muž...",lidovky.cz,title
https://www.lidovky.cz/machacek-slovak-kazimir-se-mozna-stane-sefem-euroskupiny-pzy-/monitor-jana-machacka.aspx?c=A171107_132336_monitor-jana-machacka_mpr,Slovák Kažimír se možná stane šéfem euroskupiny,Slovák Peter Kažimír je jedním z favoritů na post šéfa euroskupiny či tzv....,lidovky.cz,title
https://www.lidovky.cz/s-kroky-zemana-nesouhlasi-topolanek-chce-byt-prezident-co-sjednocuje-12j-/zpravy-domov.aspx?c=A171107_170002_ln_domov_ele,"S kroky Zemana nesouhlasí. Topolánek chce být prezident, co sjednocuje","Bývalého premiéra Mirka Topolánka motivovaly ke kandidatuře na prezidenta kroky současné hlavy státu Miloše Zemana, se...",lidovky.cz,title
https://www.lidovky.cz/zeman-se-v-lanech-sesel-s-predsedou-kscm-filipem-vyslechl-si-podminky-pro-podporu-babisovy-vlady-iex-/zpravy-domov.aspx?c=A171107_155327_ln_domov_ele,Zeman si na schůzce s předsedou KSČM Filipem vyslechl podmínky pro podporu Babišovy vlády,"Předseda KSČM Vojtěch Filip dnes v Lánech s prezidentem Milošem Zemanem debatoval o podmínkách, za kterých by mohla...",lidovky.cz,title
https://www.lidovky.cz/liberecti-policiste-hledaji-vytrznika-masturboval-ve-vlaku-pl7-/zpravy-domov.aspx?c=A171107_151337_ln_domov_ele,Liberečtí policisté hledají výtržníka. Masturboval ve vlaku,"Liberečtí policisté hledají muže, který v pátek odpoledne ve vlaku...",lidovky.cz,title
https://www.lidovky.cz/topolanek-sestavuje-tym-na-hrad-mu-ma-pomoci-nekdejsi-prazska-zastupitelka-gabriela-kloudova-if6-/zpravy-domov.aspx?c=A171107_151334_ln_domov_ele,Topolánek sestavuje tým. Na Hrad mu má pomoci někdejší zastupitelka Kloudová,Prezidentský kandidát Mirek Topolánek se pustil do předvolební fušky....,lidovky.cz,title
https://www.lidovky.cz/syrie-se-jako-posledni-rozhodla-pristoupit-k-parizske-dohode-proti-budou-jen-usa-g1v-/zpravy-svet.aspx?c=A171107_161742_ln_zahranici_ele,K pařížské dohodě o klimatu přistoupila i Sýrie. Proti budou je Spojené státy,Sýrie se jako poslední země na světě rozhodla přistoupit k pařížské...,lidovky.cz,title
https://www.lidovky.cz/cerna-vdova-z-japonska-dostala-trest-smrti-partnery-hledala-na-internetu-1q9-/zpravy-svet.aspx?c=A171107_091906_ln_zahranici_ele,Sedmdesátiletá ‚černá vdova‘ z Japonska dostala trest smrti. Otrávila tři muže,"K trestu smrti odsoudil v úterý japonský soud sedmdesátiletou ženu,...",lidovky.cz,title
https://www.lidovky.cz/letectvo-nedalo-do-systemu-informace-o-odsouzeni-strelce-z-texasu-10s-/zpravy-svet.aspx?c=A171107_114146_ln_zahranici_mha,Letectvo nedalo do systému informace o odsouzení střelce. Ke zbraním se neměl dostat,Vojenské letectvo Spojených států nezadalo informace o kriminální minulosti svého někdejšího příslušníka Devina...,lidovky.cz,title
https://byznys.lidovky.cz/kellner-kretinsky-a-tkac-ovladli-mall-group-a-portal-heureka-pls-/firmy-trhy.aspx?c=A171107_142348_firmy-trhy_kopp,"Kellner, Křetínský a Tkáč ovládli Mall Group a portál Heureka",Skupina PPF získala 40procentní podíl ve skupině e-shopů Mall Group a srovnávači cen Heureka.cz. Dalších 40 procent...,lidovky.cz,title
