link,link_text,txt,site,area
https://www.lidovky.cz/domov/myslel-jsem-ze-tady-jsme-od-svinstev-daleko-rika-cech-zijici-v-novozelandskem-meste-masakru.A190315_103051_ln_domov_rsa,"Masakr v mešitách: Myslel jsem, že tady jsme od těch svinstev daleko, říká poblíž žijící Čech",Do novozélandského města Christchurch se přestěhoval před osmi lety. Od života na ostrově si třiatřicetiletý Čech Lukáš...,lidovky.cz,title
https://www.lidovky.cz/novinari/alena-plavcova.N705,Alena Plavcová,"Někdejší divoký fotbalový obránce, reprezentant a kapitán Sparty Tomáš Řepka o pocitu štěstí, o vězení, které mu reálně...",lidovky.cz,title
https://www.lidovky.cz/svet/pri-strelbe-v-novozelandskych-mesitach-zemrelo-nejmene-40-lidi-strelci-utok-vysilali-z-vlastniho-p.A190315_060725_ln_zahranici_pev,Při střelbě v novozélandských mešitách zemřelo nejméně 49 lidí. Střelci útok vysílali z ‚vlastního pohledu',Při střelbě ve dvou mešitách v novozélandském městě Christchurch zemřelo v pátek podle posledních informací 49 lidí....,lidovky.cz,title
https://www.lidovky.cz/novinari/martin-hampejs.N3851,Martin Hampejs,"Vaše dítě na kteroukoliv univerzitu, pokud máte peníze. Takové moto by mohla mít společnost Williama Singera, protože...",lidovky.cz,title
https://www.lidovky.cz/novinari/robert-sattler.N3808,Robert Sattler,Od obsazení Československa nacisty a vzniku Protektorátu Čechy a Morava v pátek uplynulo 80 let. Jaké byly důsledky...,lidovky.cz,title
https://www.lidovky.cz/nazory/machalicka-patnactym-breznem-zacal-sestup-do-pekel.A190313_134517_ln_nazory_ceh,Patnáctým březnem začal sestup do pekel,"Dnes je to osmdesát let od doby, kdy definitivně skončilo samostatné...",lidovky.cz,title
https://www.lidovky.cz/byznys/doprava/modernizace-d1-bude-letos-pokracovat-na-71-kilometrech-opravy-maji-zpozdeni.A190307_112220_ln-doprava_ele,Modernizace D1 bude letos pokračovat na 71 kilometrech. Opravy mají zpoždění,Modernizace dálnice D1 bude letos pokračovat na celkem 71 kilometrech. Jde o sedm zbývajících úseků. Stavební práce na...,lidovky.cz,title
https://www.lidovky.cz/domov/nova-klausovska-strana-tezko-ods-podle-vize-klause-starsiho-by-dnes-mela-7-mini-politolog.A190314_190253_ln_domov_mber,"Nová strana Klause mladšího by konkurovala SPD, míní politolog","Bývalý prezident Václav Klaus vstoupil ve čtvrtek do slovní přestřelky v řadách ODS, a podpořil tak svého syna Václava...",lidovky.cz,title
https://www.lidovky.cz/domov/dve-europoslankyne-ekonom-i-byvaly-pirat-hnuti-ano-predstavilo-slozeni-kandidatky-do-eurovoleb.A190314_201739_ln_domov_ceh,"Dvě europoslankyně, ekonom i bývalý Pirát. Hnutí ANO představilo složení kandidátky do eurovoleb",V čele kandidátky hnutí ANO pro volby do Evropského parlamentu budou...,lidovky.cz,title
https://www.lidovky.cz/domov/vedeni-ano-vyloucilo-svachulu-a-liskutina-z-hnuti-obvineni-jsou-z-korupce-na-brnenske-radnici.A190314_195446_ln_domov_ceh,"ANO vyloučilo Švachulu a Liškutina, jsou obviněni z korupce na brněnské radnici",Předsednictvo ANO vyloučilo z hnutí brněnské politiky Jiřího Švachulu...,lidovky.cz,title
https://www.lidovky.cz/domov/starsi-bratr-tomia-okamury-bude-kandidovat-na-predsedu-kdu-csl.A190315_110201_ln_domov_ele,"Hayato Okamura chce stát v čele pražských lidovců. Budu kandidovat na předsedu, oznámil",Tlumočník a překladatel Hayato Okamura bude na sobotní konferenci...,lidovky.cz,title
https://www.lidovky.cz/svet/z-pasma-gazy-vypalili-dve-rakety-na-tel-aviv-za-utokem-zrejme-hnuti-islamsky-dzihad.A190314_210856_ln_zahranici_ceh,"Z Pásma Gazy vypálili dvě rakety na Tel Aviv, za útokem zřejmě stojí hnutí Islámský džihád","Izraelská armáda uvedla, že z palestinského Pásma Gazy byly ve...",lidovky.cz,title
https://www.lidovky.cz/svet/senat-schvalil-ukonceni-stavu-nouze-trump-planuje-rozhodnuti-vetovat.A190314_204618_ln_zahranici_ceh,Senát schválil ukončení stavu nouze. Trump plánuje rozhodnutí vetovat,Americký Senát ve čtvrtek schválil rezoluci prohlašující stav nouze na hranicích s Mexikem za skončený. Opatření...,lidovky.cz,title
https://www.lidovky.cz/byznys/firmy-a-trhy/facebook-opousteji-vysoce-postaveni-manazeri-duvodem-je-nesouhlas-se-strategiemi-zuckerberga.A190315_103340_firmy-trhy_ele,Facebook opouštějí vysoce postavení manažeři. Důvodem je nesouhlas se strategiemi Zuckerberga,Americkou společnost Facebook opouštějí dva vysocí manažeři. Po 13 letech ve firmě odchází produktový ředitel Chris Cox...,lidovky.cz,title
https://www.lidovky.cz/byznys/auto/tesla-predstavila-novy-model-y-auto-budoucnosti-by-se-na-trhu-melo-objevit-v-roce-2021.A190315_091826_ln-auto_ele,Tesla představila své SUV. Model Y se má začít prodávat za dva roky,"Americká společnost Tesla začne svůj sportovně-užitkový vůz (SUV) Model Y, který má být odpovědí na podobné...",lidovky.cz,title
https://www.lidovky.cz/byznys/pravo-a-justice/trojan-se-rozhodl-pro-zalozeni-vlastni-kancelare-tdpa-legal-chce-byt-jednicka-na-kriminalitu-bilych.A190310_211238_ln_byznys_pravo_ssu,"Trojan se rozhodl pro založení vlastní kanceláře, tdpA legal chce být jednička na kriminalitu bílých límečků",V polovině ledna se v obchodním rejstříku objevila nová advokátní...,lidovky.cz,title
https://www.lidovky.cz/byznys/firmy-a-trhy/stoprocentni-podil-v-sazka-group-bude-mit-skupina-kkcg-miliardare-komarka.A190314_172723_firmy-trhy_ceh,Stoprocentní podíl v Sazka Group bude mít skupina KKCG miliardáře Komárka,Stoprocentním vlastníkem sázkové společnosti Sazka Group bude pouze...,lidovky.cz,title
https://www.lidovky.cz/sport/fotbal/byl-to-sileny-konec-na-ktery-nezapomeneme-nekolik-let-muzeme-si-za-vyrazeni-sami-rekl-kouc-sevill.A190314_235332_ln-sport-fotbal_lar,"Byl to šílený konec, na který nezapomeneme několik let. Můžeme si za vyřazení sami, řekl kouč Sevilly","Pro fanoušky a hráče Slavie pocity absolutní euforie, pro příznivci Sevilly naprostý zmar. Stejně...",lidovky.cz,title
https://www.lidovky.cz/sport/ostatni-sporty/dostat-od-slavie-sest-golu-to-je-hrozne-to-si-pak-nezaslouzime-postoupit-rika-vaclik.A190315_104600_ln-sport-ostatni_lar,"Dostat od Slavie šest gólů? To je šílené. To si pak nezasloužíme postoupit, říká Vaclík","Stalo se mu to nejhorší, co může ve fotbale zažít. Inkasoval vítězný gól v poslední minutě, navíc v...",lidovky.cz,title
https://www.lidovky.cz/sport/fotbal/trpisovsky-neco-podobnyho-uz-nikdo-z-nas-nezazije-ted-uz-se-snad-konecne-dockam-chelsea-nebo-arsen.A190315_003158_ln-sport-fotbal_lar,Trpišovský: Něco podobnýho už nikdo z nás nezažije. Teď už se snad konečně dočkám Chelsea nebo Arsenalu,"Tiskovou konferenci ukončoval ve čtvrt na dvě v noci, přesto z Jindřicha Trpišovského sálala i díky...",lidovky.cz,title
https://www.lidovky.cz/kultura/ornament-je-zlocin-skleneny-pokoj-se-nedokaze-oprit-o-zadnou-nosnou-zed.A190314_094623_ln_kultura_jto,Ornament je zločin. Skleněný pokoj se nedokáže opřít o žádnou nosnou zeď,"Filmová adaptace románu Simona Mawera Skleněný pokoj má sice „v hlavní roli“ slavnou funkcionalistickou vilu Tugendhat,...",lidovky.cz,title
https://www.lidovky.cz/relax/zajimavosti/hodnota-pi-ma-novou-rekordni-delku-japonka-vypocetla-pres-31-bilionu-castic.A190315_100244_ln-zajimavosti_ele,Hodnota pí má novou rekordní délku. Japonka vypočetla přes 31 bilionů částic,"Hodnota pí, nazývaného také Ludolfovo číslo, byla vypočtena na novou rekordní délku. Nově má přes 31,4 bilionu číslic, dosavadní rekord z roku 2016 byl 22 bilionů číslic. Rekord se podařilo překonat Emmě Harukaové Iwaové, zaměstnankyni firmy Google z Japonska, za pomoci služby cloud computing firmy...",lidovky.cz,title
https://www.lidovky.cz/cestovani/aktuality/cinsky-sok-vejce-ktere-meni-barvu-vitejte-ve-velkem-narodnim-divadle.A190313_140240_aktuality_ape,"ČÍNSKÝ ŠOK: Vejce, které mění barvu. Vítejte ve Velkém národním divadle","Do „Vejce“ jsem se chtěla podívat už dlouho, protože to je má nejoblíbenější moderní stavba Pekingu. Tuhle přezdívku...",lidovky.cz,title
