link,link_text,txt,site,area
https://www.lidovky.cz/hrdina-utocnika-postrelil-pronasledoval-a-drzel-na-musce-az-do-prijezdu-policie-gd3-/zpravy-svet.aspx?c=A171106_124020_ln_zahranici_mha,"Hrdina od kostela. Instalatér útočníka postřelil, pronásledoval a držel na mušce až do příjezdu policie","Když mu dcera řekla o útoku, rozhodl se, že mu střelec z texaského kostela v Sutherland Springs neuteče a okamžitě se...",lidovky.cz,title
https://www.lidovky.cz/zemana-by-volila-tretina-lidi-ctvrtina-drahose-treti-by-skoncil-horacek-1nw-/zpravy-domov.aspx?c=A171106_152505_ln_domov_ele,"Zemana by volila třetina lidí, téměř čtvrtina Drahoše. Třetí by skončil Horáček","Z 66 procent oprávněných voličů, kteří se chtějí v lednu příštího roku zúčastnit prezidentských voleb, by 34 procent...",lidovky.cz,title
https://www.lidovky.cz/zkousel-to-na-me-s-pistoli-u-pasu-na-list-obtezovatelu-pribyli-i-hoffman-se-seagalem-ge9-/kultura.aspx?c=A171106_124211_ln_kultura_jto,‚Zkoušel to na mě s pistolí u pasu.‘ Na list obtěžovatelů přibyli i Hoffman se Seagalem,Weinsteinova sexuální aféra vyvolala v Hollywoodu „sexuální čistku“. Z nepřijatelného sexuálního chování a obtěžování...,lidovky.cz,title
//www.lidovky.cz/novinar.aspx?idnov=3784,Ondřej Bezr,Kontroverzní udělování státních vyznamenání letošního 28. října mimo jiné připomnělo takzvanou „kauzu Melodie“ z první...,lidovky.cz,title
//www.lidovky.cz/novinar.aspx?idnov=2368,Šárka Kabátová,Praha přidělila pětimilionovou dotaci společnosti Tomia Okamury. Peníze mají sloužit mezinárodnímu festivalu Japan...,lidovky.cz,title
https://www.lidovky.cz/macron-zkusi-budovat-evropskou-platformu-fjp-/monitor-jana-machacka.aspx?c=A171106_131224_monitor-jana-machacka_ele,Macron zkusí budovat evropskou platformu,"Deník WSJ má zajímavý článek Simona Nixona o tom, že francouzskému prezidentu...",lidovky.cz,title
https://www.lidovky.cz/marek-dalik-nastoupil-do-vezeni-d3h-/zpravy-domov.aspx?c=A171106_153447_ln_domov_ele,Dalík nastoupil do vězení. V Ruzyni si odpyká pět let za kauzu Pandur,V pondělí po patnácté hodině nastoupil pětiletý trest lobbista Marek Dalík.  V červenci byl odsouzen v souvislosti s...,lidovky.cz,title
https://www.lidovky.cz/pirati-svolavaji-kulaty-stul-vsech-stran-vyjma-ano-o-snemovne-pbl-/zpravy-domov.aspx?c=A171106_151901_ln_domov_ele,Piráti svolávají kulatý stůl pro jednání o výborech. ANO na něj nepozvali,"Piráti svolávají zástupce všech stran Sněmovny vyjma hnutí ANO, aby se domluvili na obsazení výborů. Vadí jim, že ANO...",lidovky.cz,title
https://www.lidovky.cz/zeman-jedna-v-lanech-o-povolebni-situaci-s-hnutim-spd-f9y-/zpravy-domov.aspx?c=A171106_145233_ln_domov_ele,"SPD nepostaví kandidáta na prezidenta, oznámil Okamura. Jednal se Zemanem v Lánech",Hnutí Svoboda a přímá demokracie nepostaví stranického kandidáta do...,lidovky.cz,title
https://www.lidovky.cz/namestkyne-primatora-jihlavy-mayerova-z-ano-neodstoupila-pnt-/zpravy-domov.aspx?c=A171106_141345_ln_domov_ele,"Náměstkyně primátora Jihlavy Mayerová, obviněná v kauze Čapí hnízdo, neodstoupila",Jihlavská náměstkyně primátora Jana Mayerová z hnutí ANO bude funkci...,lidovky.cz,title
https://www.lidovky.cz/podle-trumpa-je-era-trpelivosti-s-kldr-pryc-japonsky-premier-ho-podporil-1qb-/zpravy-svet.aspx?c=A171106_081726_ln_zahranici_ele,"Podle Trumpa je éra trpělivosti s KLDR pryč, japonský premiér ho podpořil","Americký prezident Donald Trump v Tokiu prohlásil, že „éra...",lidovky.cz,title
https://www.lidovky.cz/sef-katalanske-strany-podemos-odstoupil-podporuje-nezavislost-p8o-/zpravy-svet.aspx?c=A171106_160547_ln_zahranici_ele,Šéf katalánské strany Podemos odstoupil. Podporuje nezávislost,Šéf katalánské větve španělské protestní levicové strany Podemos v...,lidovky.cz,title
https://www.lidovky.cz/puigdemont-a-katalansti-exministri-byli-podminecne-propusteni-pwf-/zpravy-svet.aspx?c=A171106_071859_ln_zahranici_ele,Puigdemont a katalánští exministři byli podmínečně propuštěni,"Obviněný katalánský expremiér Carles Puigdemont a čtyři bývalí ministři, kteří se v neděli ráno vydali belgické...",lidovky.cz,title
https://byznys.lidovky.cz/444-6-km-h-koenigsegg-je-nejrychlejsim-seriove-vyrabenym-autem-sveta-10n-/auto.aspx?c=A171106_121833_ln-auto_kopp,"444,6 km/h. Koenigsegg je nejrychlejším sériově vyráběným autem světa",Švédský super sport Koenigsegg Agera RS se stal oficiálně nejrychlejším sériově vyráběným autem světa. Na uzavřené...,lidovky.cz,title
https://byznys.lidovky.cz/podil-cechu-kteri-neplati-vcas-dluhy-je-nejnizsi-od-roku-2008-pa1-/moje-penize.aspx?c=A171106_122215_moje-penize_ele,"Podíl Čechů, kteří neplatí včas dluhy, je nejnižší od roku 2008","Schopnost Čechů splácet závazky se zlepšuje. Ve třetím čtvrtletí mělo dluhy po splatnosti 7,36 procenta dospělých, což...",lidovky.cz,title
https://byznys.lidovky.cz/vyjde-kniha-zemanovych-rozhovoru-drn-/media.aspx?c=A171106_114707_firmy-trhy_ele,V době prezidentské kampaně vyjde kniha Zemanových rozhovorů,V době kampaně před prezidentskými volbami vyjde druhý díl sebraných...,lidovky.cz,title
https://byznys.lidovky.cz/cina-tlaci-na-vyrobu-elektromobilu-meni-tak-automobilky-po-celem-svete-1mz-/auto.aspx?c=A171106_103141_ln-auto_kopp,Čína tlačí na výrobu elektromobilů. Mění tak automobilky po celém světě,Čína se stala největším podporovatelem elektrických aut na světě a...,lidovky.cz,title
https://sport.lidovky.cz/pro-cisu-plzen-venovala-triumf-nad-slavii-nemocnemu-obranci-ktery-se-prijel-podivat-gmb-/fotbal.aspx?c=A171106_114351_ln-sport-fotbal_atv,"Pro Čišu. Plzeň věnovala triumf nad Slavií nemocnému obránci, který se přijel podívat",Fotbalisté Plzně porazili ve šlágru 13. kola první ligy pražskou Slavii a udělali další krok k mistrovskému titulu....,lidovky.cz,title
https://www.lidovky.cz/stret-dejin-ve-filmu-praha-hosti-prvni-rocnik-festivalu-ukrajinske-kinematografie-gkq-/kultura.aspx?c=A171106_123111_ln_kultura_jto,Střet dějin ve filmu. Praha hostí první ročník festivalu ukrajinské kinematografie,"Hrané filmy i dokument z posledních dvou let, doplněné dílem ze zlatého fondu ukrajinské...",lidovky.cz,title
https://www.lidovky.cz/o-novy-preklad-svejka-byla-rvacka-rika-francouzsky-bohemista-xavier-galmiche-1wl-/kultura.aspx?c=A171103_105225_ln_kultura_jto,"O nový překlad Švejka byla rvačka, říká francouzský bohemista Xavier Galmiche",Xavier Galmiche (* 1963) je klíčovou postavou francouzské bohemistiky po roce 1989. Na pařížské...,lidovky.cz,title
https://www.lidovky.cz/recenze-tri-hry-v-jednom-pitinsky-se-nachazi-v-oblezeni-hned-tri-zen-11c-/kultura.aspx?c=A171103_103811_ln_kultura_jto,RECENZE: Tři hry v jednom. Pitínský se nachází v obležení hned tří žen,"Divadlo Husa na provázku spojilo tři hry v jednu l Prostor dostanou hrdinky z totality, demokracie...",lidovky.cz,title
https://cestovani.lidovky.cz/nomadi-koupil-jsem-si-chatu-na-koleckach-pracuji-u-more-i-na-horach-p9c-/aktuality.aspx?c=A171103_160808_aktuality_ape,"NOMÁDI: Koupil jsem si chatu na kolečkách, pracuji u moře i na horách",Ke své práci potřebuje počítač a internet. Jednoho dne se Martin Kotys alias Beerty Guru i s přítelkyní odstěhoval do obytného vozu. Proč to udělal? A co mu to přineslo?,lidovky.cz,title
https://www.lidovky.cz/znojemsky-mestsky-pivovar-uvaril-pivo-s-prichuti-vina-pii-/pivo.aspx?c=A171106_133402_ln-zajimavosti_ele,Znojemský městský pivovar uvařil pivo s příchutí vína,"Svrchně kvašené pivo s příchutí vína uvařil Znojemský městský pivovar. Raritu pojmenoval Sauvin 11, protože aroma piva...",lidovky.cz,title
https://relax.lidovky.cz/v-parizi-otevrela-prvni-nudisticka-restaurace-v-satech-chodi-jen-cisnici-148-/zajimavosti.aspx?c=A171105_121628_ln-zajimavosti_ele,V Paříži otevřela první nudistická restaurace. V šatech chodí jen číšníci,"Po Londýně, Tokiu a Melbourne otevřela se tento týden i v Paříži první nudistická restaurace ve městě. Právo mít na...",lidovky.cz,title
