link,link_text,txt,site,area
https://www.lidovky.cz/svet/priznal-se-ze-to-v-opilosti-udelal-tvrdi-matka-podezreleho-z-vrazdy-bulharske-novinarky.A181011_124152_ln_zahranici_ele,"Syn se přiznal, že to udělal v opilosti, řekla matka muže podezřelého z vraždy bulharské novinářky","Bulhar Severin Krasimirov, zadržený v úterý v Německu kvůli podezření z vraždy bulharské novinářky Viktorije...",lidovky.cz,title
https://www.lidovky.cz/novinari/robert-sattler.N3808,Robert Sattler,"Po ústavní soudkyni Dagmar Lastovecké (ODS), která Brno vedla v letech 1994 až 1998, bude mít jihomoravská metropole...",lidovky.cz,title
https://www.lidovky.cz/domov/v-praze-se-nasel-dalsi-exoticky-had-tentokrat-krajta.A181011_120617_ln_domov_ele,V Praze se našel další exotický had. V Butovicích na sídlišti ležela mrtvá krajta,"Velkého hada nalezl ve čtvrtek ráno muž na pražském sídlišti Nové Butovice. Přivolaní strážníci zjistili, že šlo o...",lidovky.cz,title
https://www.lidovky.cz/novinari/martin-hampejs.N3851,Martin Hampejs,Patnáctičlenný tým byl podle tureckých médií zapotřebí na saúdskoarabské ambasádě v Instanbulu k zavraždění saúdského...,lidovky.cz,title
https://www.lidovky.cz/svet/raketa-sojuz-ma-startu-z-bajkonuru-problemy-misto-k-iss-miri-k-zemi.A181011_111329_ln_zahranici_gib,Loď Sojuz po startu k ISS kvůli havárii rakety nouzově přistála. Posádka zažila velké přetížení,Čtvrteční start lodě Sojuz MS-10 z kosmodromu Bajkonur v Kazachstánu se nezdařil. Na vině je údajně havárie nosné...,lidovky.cz,title
https://www.lidovky.cz/monitor-jana-machacka/machacek-proc-veci-nemusi-mit-duvod-k-odchodu-nikki-haleyove.A181011_131720_monitor-jana-machacka_gib,Proč věci nemusí mít důvod – k odchodu Nikki Haleyové,"Respektovaná americká velvyslankyně při OSN Nikki Haleyová překvapivě oznámila,...",lidovky.cz,title
https://www.lidovky.cz/domov/vytlaci-piratske-dredy-karlovo-ciro-top-09-bez-pomoci-konci-piraty-zuctovani-teprve-ceka.A181010_093652_ln_domov_jho,"Pirátské dredy střídají Karlovo číro. TOP 09 bez pomoci končí, Piráty zúčtování teprve čeká","Z tradičních sněmovních stran v uplynulých komunálních volbách nejvíce narazila TOP 09. Navázala tak na slabý výsledek,...",lidovky.cz,title
https://www.lidovky.cz/domov/vlastnik-okd-firma-nwr-podlehala-peclive-kontrole-tvrdi-telicka.A181011_100517_ln_domov_ele,"Vlastník OKD, firma NWR, podléhala pečlivé kontrole, tvrdí Telička",Europoslanec Pavel Telička (dříve za ANO) po čtvrtečním asi dvouhodinovém slyšení před sněmovní vyšetřovací komisi k...,lidovky.cz,title
https://www.lidovky.cz/domov/synecky-nespachal-trestny-cin-kdyz-informoval-peltu-o-odposlesich-tvrdi-soud.A181011_121838_ln_domov_ele,"Synecký nespáchal trestný čin, když  informoval Peltu o odposleších, rozhodl soud",Bývalý bezpečnostní manažer Fotbalové asociace ČR Martin Synecký...,lidovky.cz,title
https://www.lidovky.cz/domov/soud-snizil-guru-jarovy-a-plaskove-tresty-za-znasilneni.A181011_114135_ln_domov_ele,Soud snížil guru Járovi a Pláškové tresty za znásilnění o dva roky,"Olomoucký vrchní soud ve čtvrtek snížil o dva roky na 5,5 roku trest...",lidovky.cz,title
