link,link_text,txt,site,area
https://www.lidovky.cz/rysuje-se-vladni-pakt-hamacek-na-vnitro-poche-na-zahranici-p3p-/zpravy-domov.aspx?c=A180420_101438_ln_domov_ele,"Rýsuje se vládní pakt ANO s ČSSD: Hamáček na vnitro, Poche na zahraničí","Přichází den D, kdy se mohou posunout jednání o vzniku koaliční vlády ANO a ČSSD podporované KSČM. Průběh jednání je od...",lidovky.cz,title
https://www.lidovky.cz/kontroverzni-socialni-experiment-divadlo-nabizi-listky-zdarma-za-pripnuti-hakoveho-krize-ghj-/kultura.aspx?c=A180420_110014_ln_kultura_jto,Kontroverzní sociální experiment. Divadlo nabízí lístky zdarma za připnutí hákového kříže,"Pokud si během představení připnete na šaty hákový kříž, dostanete vstupenku zdarma. Takovou nabídku učinilo divadlo v...",lidovky.cz,title
//www.lidovky.cz/novinar.aspx?idnov=3851,Martin Hampejs,"Důvody, proč se podařilo bývalému agentovi Sergeji Skripalovi a jeho dceři přežít útok extrémně toxickou látkou, stále...",lidovky.cz,title
https://www.lidovky.cz/natalie-portmanova-si-v-izraeli-neprebere-prestizni-oceneni-ucast-by-ji-byla-neprijemna-gua-/lide.aspx?c=A180420_095527_lide_ele,Natalie Portmanová si v Izraeli nepřebere prestižní ocenění. Účast by jí byla nepříjemná,"Slavnostního červnového udílení prestižní izraelské ceny Genesis se nezúčastní letošní laureátka, herečka Natalie...",lidovky.cz,title
//www.lidovky.cz/novinar.aspx?idnov=705,Alena Plavcová,"Na legendárního režiséra Miloše Formana vzpomínal celý týden od jeho úmrtí filmový svět od Hollywoodu po Barrandov, od...",lidovky.cz,title
https://www.lidovky.cz/klesla-pozor-na-cinu-citic-zatim-splneni-zemanovych-slibu-neprivezl-1i5-/nazory.aspx?c=A180419_224238_ln_nazory_ele,Pozor na Čínu. CITIC zatím splnění Zemanových slibů nepřivezl,"Prezident Si ujistil osobním dopisem prezidenta Zemana, že příliv peněžních...",lidovky.cz,title
https://www.lidovky.cz/kauza-v-libereckem-dopravnim-podniku-obvinene-policie-vini-z-sesti-trestnych-cinu-g2m-/zpravy-domov.aspx?c=A180420_143403_ln_domov_ele,Kauza v libereckém dopravním podniku. Obviněné policie viní z šesti trestných činů,"Policie kauzu libereckého dopravního podniku, kde ve čtvrtek zasahovala, prošetřuje pro šest trestných činů včetně...",lidovky.cz,title
https://www.lidovky.cz/za-nevyhodnou-privatizaci-okd-zalobce-navrhl-podminky-a-zaplaceni-skody-5-7-miliardy-gmd-/zpravy-domov.aspx?c=A180420_122151_ln_domov_ele,"Za nevýhodnou privatizaci OKD žalobce navrhl podmínky a zaplacení škody 5,7 miliardy",Za zpracování nepřesného posudku vedoucího k nevýhodné privatizaci těžebního podniku OKD navrhl žalobce soudnímu znalci...,lidovky.cz,title
https://www.lidovky.cz/cast-dat-v-majetkovych-priznani-obecnich-politiku-bude-neverejna-py0-/zpravy-domov.aspx?c=A180420_112702_ln_domov_ele,Část dat v majetkových přiznání obecních politiků bude neveřejná,Údaje o movitém majetku a závazcích komunálních politiků mají být...,lidovky.cz,title
https://www.lidovky.cz/za-smrt-ctrnactilete-divky-byl-obzalovan-byvaly-novinar-hrozi-mu-az-vyjimecny-trest-gaq-/zpravy-domov.aspx?c=A180420_091032_ln_domov_ele,"Za smrt čtrnáctileté dívky byl obžalován bývalý novinář, hrozí mu až výjimečný trest",Státní zástupce obžaloval Martina Chloubu za loňskou smrt...,lidovky.cz,title
