link,link_text,txt,site,area
https://www.lidovky.cz/kalousek-vede-spor-s-rozhlasem-dzx-/zpravy-domov.aspx?c=A171025_155631_ln_domov_ele,Hektické Kalouskovo úterý. Oznámil konec a bez důkazů zaútočil na komentátora Českého rozhlasu,"Miroslav Kalousek prožil v úterý hektický den. Na tiskové konferenci oznámil, že skončí ve vedení TOP 09. Emočně...",lidovky.cz,title
https://www.lidovky.cz/stropnicky-babisovi-jsem-rekl-ze-nechci-kandidovat-na-prezidenta-na-posledni-chvili-gm2-/zpravy-domov.aspx?c=A171025_143054_ln_domov_ele,"Stropnický: Babišovi jsem řekl, že nechci kandidovat na prezidenta na poslední chvíli","Andrej Babiš v úterý prohlásil, že hnutí ANO nenominuje na Hrad vlastního kandidáta. Babiš přitom v minulosti...",lidovky.cz,title
https://www.lidovky.cz/soud-prerusil-rathuv-projev-po-12-hodinach-proslov-pry-nese-naznaky-obstrukce-1x5-/zpravy-domov.aspx?c=A171025_104158_ln_domov_ele,"Po 12 hodinách monologu soud přerušil Rathův projev. Nic nezdržuji, tvrdí exhejtman","Soud dopoledne přerušil projev bývalého středočeského hejtmana Davida Ratha, jenž třetí den vysvětloval námitku...",lidovky.cz,title
https://www.lidovky.cz/ods-mohla-mit-20-procent-syn-byl-zklamany-z-toho-vysledku-bych-se-zblaznil-mini-klaus-gzy-/zpravy-domov.aspx?c=A171025_132610_ln_domov_ele,"ODS mohla mít 20 procent, syn byl zklamaný. Z toho výsledku bych se zbláznil, míní Klaus","Antikampaň ČSSD, nekampaň lidovců, nulová kampaň komunistů a nejasná a nedůrazná kampaň ODS. To jsou podle bývalého...",lidovky.cz,title
//www.lidovky.cz/novinar.aspx?idnov=3890,Jan Horák,"Tomio Okamura a jeho Strana přímé demokracie se veřejnosti prodává jako strana bojující proti establishmentu, která...",lidovky.cz,title
https://www.lidovky.cz/machacek-kalousek-ten-co-porad-strasil-dhi-/monitor-jana-machacka.aspx?c=A171025_131102_monitor-jana-machacka_ele,"Kalousek – ten, co pořád strašil","Předseda TOP 09 oznámil, že v listopadu již nebude kandidovat na předsedu TOP...",lidovky.cz,title
https://www.lidovky.cz/cvut-zatim-nema-noveho-rektora-bude-volit-v-dalsim-kole-pgy-/zpravy-domov.aspx?c=A171025_152718_ln_domov_ele,Novým rektorem ČVUT bude Vojtěch Petráček. Zvítězil v pátém kole,Novým rektorem Českého vysokého učení technického v Praze (ČVUT) byl ve středu zvolen jaderný fyzik Vojtěch Petráček. V...,lidovky.cz,title
https://www.lidovky.cz/tesim-se-na-dalsi-setkani-zeman-gratuloval-znovuzvolenemu-si-tin-pchingovi-172-/zpravy-domov.aspx?c=A171025_151556_ln_domov_ele,‚Těším se na další setkání‘. Zeman gratuloval znovuzvolenému Si Ťin-pchingovi,Prezident Miloš Zeman ve středu gratuloval čínskému prezidentovi Si Ťin-pchingovi ke znovuzvolení generálním tajemníkem...,lidovky.cz,title
https://www.lidovky.cz/pripad-majitelky-obchodu-ktera-zastrelila-lupice-uzavren-slo-o-nutnou-obranu-rika-policie-g8q-/zpravy-domov.aspx?c=A171025_115837_ln_domov_ele,"Případ majitelky obchodu, která zastřelila lupiče, odložen. Šlo o nutnou obranu, říká policie",Pražská policie odložila případ červencového přepadení obchodu se...,lidovky.cz,title
https://www.lidovky.cz/kubera-nebude-kandidovat-na-prezidenta-proti-byla-jeho-rodina-pu1-/zpravy-domov.aspx?c=A171025_120128_ln_domov_sij,Kubera nebude kandidovat na prezidenta. Proti byla jeho rodina,Místopředseda Senátu Jaroslav Kubera nebude kandidovat v blížících se...,lidovky.cz,title
